name,faculty_name,lab_url,dept
核融合・電磁工学分野,伊藤 悟・江原 真司・程 衛英・宍戸 博紀,https://web.tohoku.ac.jp/afre/research/research.html,量子エネルギー工学専攻
核融合プラズマ学分野,大石 鉄太郎・高橋 宏幸,https://web.tohoku.ac.jp/fusion/html_tains/intro.html,量子エネルギー工学専攻
高エネルギー物質工学分野,波多野 雄治・大野 直子,https://www.qse.tohoku.ac.jp/lab/ase/,量子エネルギー工学専攻
核エネルギーフロー環境工学分野,千田 太詩・関 亜美,http://web.tohoku.ac.jp/michiru/research2020.html,量子エネルギー工学専攻
核エネルギーシステム安全工学分野,高橋 信・狩川 大輔,http://www.takahashi.qse.tohoku.ac.jp/,量子エネルギー工学専攻
エネルギー物理工学教育分野,藤原 充啓,https://www.qse.tohoku.ac.jp/lab/epee/frontline.html,量子エネルギー工学専攻
保全工学分野,渡邉 豊・阿部 博志,http://web.tohoku.ac.jp/watanabe/research/index.html,量子エネルギー工学専攻
信頼性計測学分野,遊佐 訓孝・吉岡 宰次郎,http://web.tohoku.ac.jp/yusa/index.php/research/,量子エネルギー工学専攻
加速器・原子炉システム工学分野,松山 成男・加田 渉・相澤 直人,http://web.tohoku.ac.jp/matsuyamalab/dynamitron/,量子エネルギー工学専攻
量子生体計測学分野,菊地 洋平,https://web.tohoku.ac.jp/qbi/,量子エネルギー工学専攻
応用量子医工学分野,志田原 美保,http://web.tohoku.ac.jp/shidahara/index.html,量子エネルギー工学専攻
放射線高度利用分野,人見 啓太朗・野上 光博,https://www.qse.tohoku.ac.jp/lab/ara/,量子エネルギー工学専攻
核燃料科学分野,金 聖潤,https://www.qse.tohoku.ac.jp/lab/nfs/,量子エネルギー工学専攻
先進原子核工学分野,松山 成男・高橋 信・阿部 清治・平岡 英治・遠藤 淳一・伊藤 慎・宍戸 博紀,https://www.qse.tohoku.ac.jp/lab/heme/,量子エネルギー工学専攻
材料照射工学分野,笠田 竜太・井上 耕治・吉田 健太・宋 鵬,https://www.qse.tohoku.ac.jp/lab/ientrm/,量子エネルギー工学専攻
原子力材料工学分野,笠田 竜太・近藤 創介・余 浩・荻野 靖之,http://web.tohoku.ac.jp/imr-numat/research/,量子エネルギー工学専攻
量子機能材料工学分野,秋山 英二・小山 元道・味戸 沙耶・柿沼 洋,https://www.qse.tohoku.ac.jp/lab/scer/,量子エネルギー工学専攻
アクチノイド物性工学分野,青木 大・三宅 厚志・本間 佳哉・李 徳新,https://actinide.imr.tohoku.ac.jp/styled/index.html,量子エネルギー工学専攻
放射化学分野,桐島 陽・秋山 大輔・横田 優貴,https://www2.tagen.tohoku.ac.jp/lab/kirishima/%e7%a0%94%e7%a9%b6%e6%a6%82%e8%a6%81/,量子エネルギー工学専攻
加速器保健物理工学分野,渡部 浩司・池田 隼人,https://www.qse.tohoku.ac.jp/lab/ahp/,量子エネルギー工学専攻
核放射線物理工学分野,寺川 貴樹・岩本 ちひろ,https://inst.cyric.tohoku.ac.jp/terakawa-lab/,量子エネルギー工学専攻
