name,faculty_name,lab_url,dept
原子・分子制御工学講座,松本 祐司・丸山 伸伍・神永 健一,http://www.che.tohoku.ac.jp/~atomol/,応用化学専攻
環境資源化学講座/エネルギー資源化学分野,冨重 圭一・中川 善直・藪下 瑞帆,http://www.che.tohoku.ac.jp/~erec/,応用化学専攻
環境資源化学講座/機能高分子化学分野,三ツ石 方也・朱 慧娥・柏崎 亜樹,http://www.che.tohoku.ac.jp/~poly/,応用化学専攻
分子システム化学講座/極限材料創製化学分野,滝澤 博胤・林 大和・福島 潤,http://www.che.tohoku.ac.jp/~aim/,応用化学専攻
分子システム化学講座/量子物理化学分野,浅井 圭介・藤本 裕・川本 弘樹,http://www.che.tohoku.ac.jp/~qpc/,応用化学専攻
環境保全化学分野,大井 秀一・田中 信也・北本 雄一,http://www.che.tohoku.ac.jp/~aporg/,応用化学専攻
ハイブリッド材料創製研究分野,芥川 智行,http://www.tagen.tohoku.ac.jp/labo/akutagawa/Homepage2010/index-j.html,応用化学専攻
光機能材料化学研究分野,中川 勝,http://www.tagen.tohoku.ac.jp/labo/nakagawa/index-j.html,応用化学専攻
高分子物理化学研究分野,陣内 浩司・宮田 智衆,http://www2.tagen.tohoku.ac.jp/lab/jinnai/,応用化学専攻
物質変換無機材料研究分野,加藤 英樹,http://www2.tagen.tohoku.ac.jp/lab/kato/,応用化学専攻
