name,faculty_name,lab_url,dept
エネルギーデバイス工学講座 / マイクロエネルギーデバイス,遠藤(恭)・室賀,https://web.tohoku.ac.jp/rf-mag/index.html,電気エネルギーシステム専攻
エネルギーデバイス工学講座 / グリーンパワーエレクトロニクス,遠藤(哲),http://www.ecei.tohoku.ac.jp/endohlab/,電気エネルギーシステム専攻
エネルギーデバイス工学講座 / ユビキタスエネルギー,薮上・桑波田・青木(英),http://www.ecei.tohoku.ac.jp/yab/,電気エネルギーシステム専攻
電気エネルギーシステム工学講座 / 応用電気エネルギーシステム,津田・長崎,https://www.ecei.tohoku.ac.jp/sclab/,電気エネルギーシステム専攻
電気エネルギーシステム工学講座 / エネルギー生成システム,高橋(和),https://sites.google.com/tohoku.ac.jp/pdp-lab,電気エネルギーシステム専攻
電気エネルギーシステム工学講座 / 電力ネットワークシステム,斎藤(浩),http://www.ecei.tohoku.ac.jp/saitoh/index.html,電気エネルギーシステム専攻
先端電力工学(東北電力)共同研究講座,山本(客員),http://www.ecei.tohoku.ac.jp/~moden/index.html,電気エネルギーシステム専攻
サイバーフィジカルシステム,杉田,https://web.tohoku.ac.jp/cps-cc/,電気エネルギーシステム専攻
生体電磁情報,石山・後藤,http://www.ishiyama.riec.tohoku.ac.jp/,電気エネルギーシステム専攻
実世界コンピューティング,石黒,http://www.cmplx.riec.tohoku.ac.jp/jp/,電気エネルギーシステム専攻
知的通信ネットワーク工学講座 / ヒューマンインターフェース,伊藤(彰)・能勢,http://www.spcom.ecei.tohoku.ac.jp/,通信工学専攻
通信システム工学講座 / 画像情報通信工学,大町・宮崎(智),http://www.iic.ecei.tohoku.ac.jp/,通信工学専攻
通信システム工学講座 / 通信情報計測学,松浦,http://www.ecei.tohoku.ac.jp/photonics/,通信工学専攻
通信システム工学講座 / 通信方式,西山,https://web.tohoku.ac.jp/cslab/,通信工学専攻
波動工学講座 / 電磁波工学,陳・今野・佐藤,http://www.chenq.ecei.tohoku.ac.jp/,通信工学専攻
波動工学講座 / 微小光学,吉田,https://web.tohoku.ac.jp/yoshida-lab/index.html,通信工学専攻
波動工学講座 / 音波物理工学,吉澤,http://www.ecei.tohoku.ac.jp/ume/,通信工学専攻
超高速光通信,廣岡・葛西,http://www.hikari.riec.tohoku.ac.jp/,通信工学専攻
先端ワイヤレス通信技術,末松,http://www.wit.riec.tohoku.ac.jp/,通信工学専攻
情報ストレージシステム,(本間)・グリーブズ,http://www.kiroku.riec.tohoku.ac.jp/,通信工学専攻
超ブロードバンド信号処理,(廣岡)・佐藤(昭)・林,https://www.riec.tohoku.ac.jp/ja/organization/section2/ultra-broad/,通信工学専攻
環境調和型セキュア情報システム,本間,http://www.ecsis.riec.tohoku.ac.jp/,通信工学専攻
新概念VLSIシステム,羽生・夏井・鬼沢,http://www.ngc.riec.tohoku.ac.jp/,通信工学専攻
超微細電子工学講座 / スピン材料電子工学,齊藤(伸)・小川,https://nanoele.ecei.tohoku.ac.jp/,電子工学専攻
物性工学講座 / プラズマ理工学,金子・佐々木,https://www.ecei.tohoku.ac.jp/plasma/,電子工学専攻
物性工学講座 / 固体電子工学,加藤(俊)・岡田,https://katotoshiaki-lab.com/,電子工学専攻
物性工学講座 / フォトニックデバイス工学,北村(恭),https://web.tohoku.ac.jp/photonic-device/,電子工学専攻
電子システム工学講座 / 画像電子工学,藤掛,http://www.ecei.tohoku.ac.jp/fujikake/index.htm,電子工学専攻
電子システム工学講座 / 電子機器工学,日暮,https://www.ecei.tohoku.ac.jp/higurashilab/index.html,電子工学専攻
電子システム工学講座 / 生体電子工学,吉信・宮本,http://www.bme.ecei.tohoku.ac.jp/,電子工学専攻
電子システム工学講座 / 未来エレクトロニクス基盤創製,黒田,https://felectronics.ecei.tohoku.ac.jp/,電子工学専攻
固体電子工学,(佐藤)・吹留,http://www.fukidome.riec.tohoku.ac.jp/,電子工学専攻
誘電ナノデバイス,山末・平永,http://www.d-nanodev.riec.tohoku.ac.jp/index-j.html,電子工学専攻
物性機能設計,白井・阿部(和),https://www.shirai.riec.tohoku.ac.jp/,電子工学専攻
スピントロニクス,深見・金井,http://www.spin.riec.tohoku.ac.jp/,電子工学専攻
ナノ集積デバイス・システム,佐藤(茂)・櫻庭・山本,http://www.sato.riec.tohoku.ac.jp/,電子工学専攻
光量子情報通信,松田(信),https://www.riec.tohoku.ac.jp/ja/organization/section2/quantum-optical/,電子工学専攻
量子デバイス,大塚,https://ja.qd.riec.tohoku.ac.jp/home,電子工学専攻
ナノ・バイオ融合分子デバイス,平野,http://www.riec.tohoku.ac.jp/~hir-lab/,電子工学専攻
次世代スピンエレクトロニクス材料工学,角田,https://www.ecei.tohoku.ac.jp/tsunoda/research.html,電子工学専攻
ナノ知能システム,島津,http://www.fris.tohoku.ac.jp/~shimatsu/,電子工学専攻
ナノスピンメモリ,池田,http://www.spin.riec.tohoku.ac.jp/index.html,電子工学専攻
神経電子医工学,渡邉,http://www.ecei.tohoku.ac.jp/fes/,電子工学専攻
腫瘍医工学,小玉,https://web.tohoku.ac.jp/kodama/,電子工学専攻
医用イメージング,西條・荒川,http://www.ecei.tohoku.ac.jp/imaging/,電子工学専攻
病態ナノシステム医工学,神崎,http://www.ecei.tohoku.ac.jp/kanzaki/,電子工学専攻
ソーシャルシステムデザイン講座 / 先端エネルギーシステム,中村,http://www.ecei.tohoku.ac.jp/nakamura/,技術社会システム専攻
ソーシャルシステムデザイン講座 / 情報感性工学分野,石鍋 隆宏,https://www.ecei.tohoku.ac.jp/ecei_web/org/gse/,技術社会システム専攻
