name,faculty_name,lab_url,dept
接合界面制御学講座,佐藤 裕・鈴木 聖顕,https://www.material.tohoku.ac.jp/labs/mtp/sato.html,材料システム工学専攻
微粒子システムプロセス学分野（マイクロシステム学講座）,野村 直之・周 偉偉・董 明琪・周 振興,https://www.material.tohoku.ac.jp/labs/mtp/nomura.html,材料システム工学専攻
材料システム計測学分野（マイクロシステム学講座）,小原 良和・長久保 白,https://www.material.tohoku.ac.jp/labs/mtp/mihara.html,材料システム工学専攻
多元変換機能システム学分野（マイクロシステム学講座）,徐 超男・内山 智貴,https://www.material.tohoku.ac.jp/labs/mtp/xu.html,材料システム工学専攻
生体機能材料学分野（生体材料システム学講座）,山本 雅哉・小林 真子,https://www.material.tohoku.ac.jp/labs/mtp/yamamoto.html,材料システム工学専攻
医用材料工学分野（生体材料システム学講座）,成島 尚之・上田 恭介,https://www.material.tohoku.ac.jp/labs/mtp/narushima.html,材料システム工学専攻
金属機能設計研究分野（物質構造評価学講座）,亀岡 聡・藤田 伸尚,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5055,材料システム工学専攻
ナノ電子プローブ回折計測研究分野（物質構造評価学講座）,津田 健治・森川 大輔,https://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2101,材料システム工学専攻
無機固体材料化学研究分野（物質構造評価学講座）,山田 高広・細野 新,https://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2130,材料システム工学専攻
先端結晶工学研究部門（材料機能制御プロセス学講座）,吉川 彰・柿本 浩一・横田 有為・吉野 将生・村上 力輝斗・石澤 倫・花田 貴,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/14.html,材料システム工学専攻
複合機能材料学研究部門（材料機能制御プロセス学講座）,熊谷 悠・清原 慎・袁 星晏・ブ テイ ナツ フエン・益田 快理,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/23.html,材料システム工学専攻
附属新素材共同研究開発センター（材料機能制御プロセス学講座）,梅津 理恵・西山 信行・山中 謙太・黄 嵐禎・任 勝均,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/facilities/02.html,材料システム工学専攻
物質材料エネルギー領域（材料機能制御プロセス学講座）,増本 博,https://www.fris.tohoku.ac.jp/researcher/advanced/masumoto.html,材料システム工学専攻
