name,faculty_name,lab_url,dept
機能システム学講座 / 微小機械構成学分野,小野・トアン,https://www.nme.mech.tohoku.ac.jp/,機械機能創成専攻
機能システム学講座 / 微小機械構成学分野,戸田,https://www.nme.mech.tohoku.ac.jp/,機械機能創成専攻
機能システム学講座 / ナノ界面制御工学分野,足立・厨川,http://www.tribo.mech.tohoku.ac.jp/index.html,機械機能創成専攻
機能システム学講座 / ナノ界面制御工学分野,村島,http://www.tribo.mech.tohoku.ac.jp/index.html,機械機能創成専攻
エネルギー学講座 / 新エネルギー変換工学分野,清水,https://www.renewable.energy.mech.tohoku.ac.jp/,機械機能創成専攻
エネルギー学講座 / 流体エネルギー工学分野,茂田・杉本,http://www.fluid.mech.tohoku.ac.jp/,機械機能創成専攻
エネルギー学講座 / 流体エネルギー工学分野,宗岡,http://www.fluid.mech.tohoku.ac.jp/,機械機能創成専攻
エネルギー学講座 / 熱制御工学分野,琵琶・楠戸,http://www.amsd.mech.tohoku.ac.jp/,機械機能創成専攻
エネルギー学講座 / 熱制御工学分野,庄司,http://www.amsd.mech.tohoku.ac.jp/,機械機能創成専攻
医工学研究科連携講座 / 医用ナノシステム学分野,田中(徹),http://www.lbc.mech.tohoku.ac.jp/,機械機能創成専攻
医工学研究科連携講座 / ホリスティック集積工学分野,福島,https://fukushima.mech.tohoku.ac.jp/,機械機能創成専攻
（協力講座）先端材料強度科学研究センター / 表面・界面制御強度信頼性科学研究分野,小川・齋藤・何,http://www.ogawa.rift.mech.tohoku.ac.jp/,機械機能創成専攻
（協力講座）先端材料強度科学研究センター / 表面・界面制御強度信頼性科学研究分野,市川,http://www.ogawa.rift.mech.tohoku.ac.jp/,機械機能創成専攻
（協力講座）先端材料強度科学研究センター / エネルギー循環システム研究分野,佐藤(一),https://web.tohoku.ac.jp/ecslab/,機械機能創成専攻
（協力講座）グリーンクロステック研究センター / マニュファクチャリングプロセス分野,水谷・久慈,https://mmlab.mech.tohoku.ac.jp/,機械機能創成専攻
（協力講座）流体科学研究所 / 電磁機能流動研究分野,高奈・金子,http://www.ifs.tohoku.ac.jp/takana/japanese.html,機械機能創成専攻
