name,faculty_name,lab_url,dept
金属プロセス工学講座,三木 貴博,https://www.material.tohoku.ac.jp/labs/metallurgy/nagasaka.html,金属フロンティア工学専攻
材料組織制御学分野（創形創質プロセス学講座）,貝沼 亮介・許 鑫・夏 季,https://www.material.tohoku.ac.jp/labs/metallurgy/kainuma.html,金属フロンティア工学専攻
計算材料構成学分野（創形創質プロセス学講座）,大森 俊洋・五百藏一成,https://www.material.tohoku.ac.jp/labs/metallurgy/kainuma.html,金属フロンティア工学専攻
素形材プロセス学分野（創形創質プロセス学講座）,及川 勝成・上島 伸文,https://www.material.tohoku.ac.jp/labs/metallurgy/oikawa.html,金属フロンティア工学専攻
材料物理化学分野（先端マテリアル物理化学講座）,竹田 修・朱 尚萍,https://www.material.tohoku.ac.jp/labs/metallurgy/zhu.html,金属フロンティア工学専攻
材料プロセス設計学分野（先端マテリアル物理化学講座）,朱 鴻民,https://www.material.tohoku.ac.jp/labs/metallurgy/zhu.html,金属フロンティア工学専攻
材料分離プロセス研究分野（プロセス設計学講座）,柴田 浩幸・助永 壮平・上村 源,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5140,金属フロンティア工学専攻
基盤素材プロセッシング研究分野（プロセス設計学講座）,植田 滋・岩間 崇之,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=1106,金属フロンティア工学専攻
金属組織制御学研究部門（プロセス制御学講座）,宮本 百郎・古原 忠・張 咏杰・謝 玉麟,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/09.html,金属フロンティア工学専攻
構造制御機能材料学研究部門（プロセス制御学講座）,市坪 哲・岡本 範彦・李 弘毅・中田 侃樹,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/16.html,金属フロンティア工学専攻
環境適合素材プロセス研究分野（プロセス制御学講座）,埜上 洋・夏井 俊悟・丸岡 伸洋・髙橋 純一,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5150,金属フロンティア工学専攻
データ可視化スマートラボ（プロセス制御学講座）,髙橋 幸生・篠田 弘造・阿部 真樹,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2070,金属フロンティア工学専攻
接合界面制御学講座,佐藤 裕・鈴木 聖顕,https://www.material.tohoku.ac.jp/labs/mtp/sato.html,材料システム工学専攻
微粒子システムプロセス学分野（マイクロシステム学講座）,野村 直之・周 偉偉・董 明琪・周 振興,https://www.material.tohoku.ac.jp/labs/mtp/nomura.html,材料システム工学専攻
材料システム計測学分野（マイクロシステム学講座）,小原 良和・長久保 白,https://www.material.tohoku.ac.jp/labs/mtp/mihara.html,材料システム工学専攻
多元変換機能システム学分野（マイクロシステム学講座）,徐 超男・内山 智貴,https://www.material.tohoku.ac.jp/labs/mtp/xu.html,材料システム工学専攻
生体機能材料学分野（生体材料システム学講座）,山本 雅哉・小林 真子,https://www.material.tohoku.ac.jp/labs/mtp/yamamoto.html,材料システム工学専攻
医用材料工学分野（生体材料システム学講座）,成島 尚之・上田 恭介,https://www.material.tohoku.ac.jp/labs/mtp/narushima.html,材料システム工学専攻
金属機能設計研究分野（物質構造評価学講座）,亀岡 聡・藤田 伸尚,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5055,材料システム工学専攻
ナノ電子プローブ回折計測研究分野（物質構造評価学講座）,津田 健治・森川 大輔,https://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2101,材料システム工学専攻
無機固体材料化学研究分野（物質構造評価学講座）,山田 高広・細野 新,https://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2130,材料システム工学専攻
先端結晶工学研究部門（材料機能制御プロセス学講座）,吉川 彰・柿本 浩一・横田 有為・吉野 将生・村上 力輝斗・石澤 倫・花田 貴,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/14.html,材料システム工学専攻
複合機能材料学研究部門（材料機能制御プロセス学講座）,熊谷 悠・清原 慎・袁 星晏・ブ テイ ナツ フエン・益田 快理,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/23.html,材料システム工学専攻
附属新素材共同研究開発センター（材料機能制御プロセス学講座）,梅津 理恵・西山 信行・山中 謙太・黄 嵐禎・任 勝均,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/facilities/02.html,材料システム工学専攻
物質材料エネルギー領域（材料機能制御プロセス学講座）,増本 博,https://www.fris.tohoku.ac.jp/researcher/advanced/masumoto.html,材料システム工学専攻
核融合・電磁工学分野,伊藤 悟・江原 真司・程 衛英・宍戸 博紀,https://web.tohoku.ac.jp/afre/research/research.html,量子エネルギー工学専攻
核融合プラズマ学分野,大石 鉄太郎・高橋 宏幸,https://web.tohoku.ac.jp/fusion/html_tains/intro.html,量子エネルギー工学専攻
高エネルギー物質工学分野,波多野 雄治・大野 直子,https://www.qse.tohoku.ac.jp/lab/ase/,量子エネルギー工学専攻
核エネルギーフロー環境工学分野,千田 太詩・関 亜美,http://web.tohoku.ac.jp/michiru/research2020.html,量子エネルギー工学専攻
核エネルギーシステム安全工学分野,高橋 信・狩川 大輔,http://www.takahashi.qse.tohoku.ac.jp/,量子エネルギー工学専攻
エネルギー物理工学教育分野,藤原 充啓,https://www.qse.tohoku.ac.jp/lab/epee/frontline.html,量子エネルギー工学専攻
保全工学分野,渡邉 豊・阿部 博志,http://web.tohoku.ac.jp/watanabe/research/index.html,量子エネルギー工学専攻
信頼性計測学分野,遊佐 訓孝・吉岡 宰次郎,http://web.tohoku.ac.jp/yusa/index.php/research/,量子エネルギー工学専攻
加速器・原子炉システム工学分野,松山 成男・加田 渉・相澤 直人,http://web.tohoku.ac.jp/matsuyamalab/dynamitron/,量子エネルギー工学専攻
量子生体計測学分野,菊地 洋平,https://web.tohoku.ac.jp/qbi/,量子エネルギー工学専攻
応用量子医工学分野,志田原 美保,http://web.tohoku.ac.jp/shidahara/index.html,量子エネルギー工学専攻
放射線高度利用分野,人見 啓太朗・野上 光博,https://www.qse.tohoku.ac.jp/lab/ara/,量子エネルギー工学専攻
核燃料科学分野,金 聖潤,https://www.qse.tohoku.ac.jp/lab/nfs/,量子エネルギー工学専攻
先進原子核工学分野,松山 成男・高橋 信・阿部 清治・平岡 英治・遠藤 淳一・伊藤 慎・宍戸 博紀,https://www.qse.tohoku.ac.jp/lab/heme/,量子エネルギー工学専攻
材料照射工学分野,笠田 竜太・井上 耕治・吉田 健太・宋 鵬,https://www.qse.tohoku.ac.jp/lab/ientrm/,量子エネルギー工学専攻
原子力材料工学分野,笠田 竜太・近藤 創介・余 浩・荻野 靖之,http://web.tohoku.ac.jp/imr-numat/research/,量子エネルギー工学専攻
量子機能材料工学分野,秋山 英二・小山 元道・味戸 沙耶・柿沼 洋,https://www.qse.tohoku.ac.jp/lab/scer/,量子エネルギー工学専攻
アクチノイド物性工学分野,青木 大・三宅 厚志・本間 佳哉・李 徳新,https://actinide.imr.tohoku.ac.jp/styled/index.html,量子エネルギー工学専攻
放射化学分野,桐島 陽・秋山 大輔・横田 優貴,https://www2.tagen.tohoku.ac.jp/lab/kirishima/%e7%a0%94%e7%a9%b6%e6%a6%82%e8%a6%81/,量子エネルギー工学専攻
加速器保健物理工学分野,渡部 浩司・池田 隼人,https://www.qse.tohoku.ac.jp/lab/ahp/,量子エネルギー工学専攻
核放射線物理工学分野,寺川 貴樹・岩本 ちひろ,https://inst.cyric.tohoku.ac.jp/terakawa-lab/,量子エネルギー工学専攻
材料電子化学講座,武藤 泉・西本 昌史,https://www.material.tohoku.ac.jp/labs/mts/mutou.html,知能デバイス材料学専攻
極限材料物性学分野（ナノ材料物性学講座）,須藤 祐司・安藤 大輔・双 遠,https://www.material.tohoku.ac.jp/labs/mts/suto.html,知能デバイス材料学専攻
強度材料物性学分野（ナノ材料物性学講座）,吉見 享祐・関戸 信彰・金子 昌弘・畠山 浩二・ヤン シンユ,https://www.material.tohoku.ac.jp/labs/mts/yoshimi.html,知能デバイス材料学専攻
電光子情報材料学分野（情報デバイス材料学講座）,好田 誠・鈴木 真梓子・石原 淳・山本 壮太,https://www.material.tohoku.ac.jp/labs/mts/kohda.html,知能デバイス材料学専攻
先端マグネト材料学分野（情報デバイス材料学講座）,手束 展規・松浦 昌志,https://www.material.tohoku.ac.jp/labs/mts/tezuka.html,知能デバイス材料学専攻
