name,faculty_name,lab_url,dept
材料電子化学講座,武藤 泉・西本 昌史,https://www.material.tohoku.ac.jp/labs/mts/mutou.html,知能デバイス材料学専攻
極限材料物性学分野（ナノ材料物性学講座）,須藤 祐司・安藤 大輔・双 遠,https://www.material.tohoku.ac.jp/labs/mts/suto.html,知能デバイス材料学専攻
強度材料物性学分野（ナノ材料物性学講座）,吉見 享祐・関戸 信彰・金子 昌弘・畠山 浩二・ヤン シンユ,https://www.material.tohoku.ac.jp/labs/mts/yoshimi.html,知能デバイス材料学専攻
電光子情報材料学分野（情報デバイス材料学講座）,好田 誠・鈴木 真梓子・石原 淳・山本 壮太,https://www.material.tohoku.ac.jp/labs/mts/kohda.html,知能デバイス材料学専攻
先端マグネト材料学分野（情報デバイス材料学講座）,手束 展規・松浦 昌志,https://www.material.tohoku.ac.jp/labs/mts/tezuka.html,知能デバイス材料学専攻
エネルギー情報材料学分野（情報デバイス材料学講座）,高村 仁・石井 暁大,https://www.material.tohoku.ac.jp/labs/mts/takamura.html,知能デバイス材料学専攻
機能電子材料創製研究分野（物質機能創製学講座）,齊藤 雄太・金 美賢,https://www.material.tohoku.ac.jp/labs/mts/saito.html,知能デバイス材料学専攻
非平衡物質工学研究部門（ナノ構造物質工学講座）,加藤 秀実・和田 武・山田 類,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/18.html,知能デバイス材料学専攻
計算材料学研究部門（ナノ構造物質工学講座）,久保 百司・大谷 優介・福島 省吾,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/10.html,知能デバイス材料学専攻
光物質科学研究分野（ナノ構造物質工学講座）,才田 淳治,https://www.fris.tohoku.ac.jp/researcher/managing/saida.html,知能デバイス材料学専攻
磁性材料学研究部門（物質機能創製学講座）,関 剛斎・坂本 祥哉・山崎 匠・KUSHWAHA Varun Kumar,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/19.html,知能デバイス材料学専攻
量子ビーム計測研究分野（物質機能創製学講座）,百生 敦・關 義親,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=6013,知能デバイス材料学専攻
光物質科学研究分野（材料表面機能制御学講座）,小澤 祐市・田辺 綾乃・上杉 祐貴,https://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=1091,知能デバイス材料学専攻
