name,faculty_name,lab_url,dept
金属プロセス工学講座,三木 貴博,https://www.material.tohoku.ac.jp/labs/metallurgy/nagasaka.html,金属フロンティア工学専攻
材料組織制御学分野（創形創質プロセス学講座）,貝沼 亮介・許 鑫・夏 季,https://www.material.tohoku.ac.jp/labs/metallurgy/kainuma.html,金属フロンティア工学専攻
計算材料構成学分野（創形創質プロセス学講座）,大森 俊洋・五百藏一成,https://www.material.tohoku.ac.jp/labs/metallurgy/kainuma.html,金属フロンティア工学専攻
素形材プロセス学分野（創形創質プロセス学講座）,及川 勝成・上島 伸文,https://www.material.tohoku.ac.jp/labs/metallurgy/oikawa.html,金属フロンティア工学専攻
材料物理化学分野（先端マテリアル物理化学講座）,竹田 修・朱 尚萍,https://www.material.tohoku.ac.jp/labs/metallurgy/zhu.html,金属フロンティア工学専攻
材料プロセス設計学分野（先端マテリアル物理化学講座）,朱 鴻民,https://www.material.tohoku.ac.jp/labs/metallurgy/zhu.html,金属フロンティア工学専攻
材料分離プロセス研究分野（プロセス設計学講座）,柴田 浩幸・助永 壮平・上村 源,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5140,金属フロンティア工学専攻
基盤素材プロセッシング研究分野（プロセス設計学講座）,植田 滋・岩間 崇之,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=1106,金属フロンティア工学専攻
金属組織制御学研究部門（プロセス制御学講座）,宮本 百郎・古原 忠・張 咏杰・謝 玉麟,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/09.html,金属フロンティア工学専攻
構造制御機能材料学研究部門（プロセス制御学講座）,市坪 哲・岡本 範彦・李 弘毅・中田 侃樹,http://www.imr.tohoku.ac.jp/ja/about/divisions-and-centers/research-division/16.html,金属フロンティア工学専攻
環境適合素材プロセス研究分野（プロセス制御学講座）,埜上 洋・夏井 俊悟・丸岡 伸洋・髙橋 純一,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=5150,金属フロンティア工学専攻
データ可視化スマートラボ（プロセス制御学講座）,髙橋 幸生・篠田 弘造・阿部 真樹,http://db.tagen.tohoku.ac.jp/php/forweb/outline.php?lang=ja&no=2070,金属フロンティア工学専攻
